Survey_Date,Kinneret_Level
19/09/2020,-209.65
18/09/2020,-209.64
17/09/2020,-209.635
16/09/2020,-209.635
15/09/2020,-209.625
14/09/2020,-209.61
13/09/2020,-209.605
12/09/2020,-209.595
11/09/2020,-209.58
10/09/2020,-209.575
09/09/2020,-209.57
08/09/2020,-209.565
07/09/2020,-209.56
06/09/2020,-209.555
05/09/2020,-209.545
04/09/2020,-209.54
03/09/2020,-209.535
02/09/2020,-209.53
01/09/2020,-209.53
31/08/2020,-209.525
30/08/2020,-209.53
29/08/2020,-209.53
28/08/2020,-209.53
27/08/2020,-209.525
26/08/2020,-209.52
25/08/2020,-209.515
24/08/2020,-209.51
23/08/2020,-209.51
22/08/2020,-209.5
21/08/2020,-209.49
20/08/2020,-209.48
19/08/2020,-209.475
18/08/2020,-209.47
17/08/2020,-209.47
16/08/2020,-209.465
13/08/2020,-209.455
12/08/2020,-209.45
11/08/2020,-209.445
10/08/2020,-209.44
09/08/2020,-209.435
08/08/2020,-209.43
07/08/2020,-209.425
06/08/2020,-209.42
05/08/2020,-209.41
04/08/2020,-209.405
03/08/2020,-209.4
02/08/2020,-209.4
01/08/2020,-209.385
31/07/2020,-209.37
30/07/2020,-209.365
29/07/2020,-209.36
28/07/2020,-209.355
27/07/2020,-209.345
26/07/2020,-209.34
25/07/2020,-209.33
24/07/2020,-209.31
23/07/2020,-209.305
22/07/2020,-209.3
21/07/2020,-209.29
20/07/2020,-209.285
19/07/2020,-209.275
18/07/2020,-209.265
17/07/2020,-209.25
16/07/2020,-209.24
15/07/2020,-209.24
14/07/2020,-209.23
13/07/2020,-209.22
12/07/2020,-209.22
11/07/2020,-209.21
10/07/2020,-209.2
09/07/2020,-209.19
08/07/2020,-209.185
07/07/2020,-209.18
06/07/2020,-209.17
05/07/2020,-209.165
04/07/2020,-209.16
03/07/2020,-209.15
02/07/2020,-209.14
01/07/2020,-209.135
30/06/2020,-209.13
29/06/2020,-209.13
28/06/2020,-209.12
27/06/2020,-209.11
26/06/2020,-209.105
25/06/2020,-209.1
24/06/2020,-209.095
23/06/2020,-209.09
22/06/2020,-209.08
21/06/2020,-209.08
20/06/2020,-209.07
19/06/2020,-209.065
18/06/2020,-209.06
17/06/2020,-209.055
16/06/2020,-209.05
15/06/2020,-209.045
14/06/2020,-209.04
13/06/2020,-209.04
12/06/2020,-209.035
11/06/2020,-209.03
10/06/2020,-209.025
09/06/2020,-209.02
08/06/2020,-209.015
07/06/2020,-209.005
06/06/2020,-209
05/06/2020,-208.995
04/06/2020,-208.99
03/06/2020,-208.985
02/06/2020,-208.985
01/06/2020,-208.98
31/05/2020,-208.98
30/05/2020,-208.97
29/05/2020,-208.96
28/05/2020,-208.95
27/05/2020,-208.94
26/05/2020,-208.935
25/05/2020,-208.94
24/05/2020,-208.935
23/05/2020,-208.92
22/05/2020,-208.915
21/05/2020,-208.91
20/05/2020,-208.905
19/05/2020,-208.9
18/05/2020,-208.9
17/05/2020,-208.9
16/05/2020,-208.895
15/05/2020,-208.89
14/05/2020,-208.895
13/05/2020,-208.9
12/05/2020,-208.9
11/05/2020,-208.9
10/05/2020,-208.9
09/05/2020,-208.895
08/05/2020,-208.905
07/05/2020,-208.91
06/05/2020,-208.91
05/05/2020,-208.91
04/05/2020,-208.92
03/05/2020,-208.92
02/05/2020,-208.92
01/05/2020,-208.92
30/04/2020,-208.925
29/04/2020,-208.92
28/04/2020,-208.92
27/04/2020,-208.925
26/04/2020,-208.93
25/04/2020,-208.925
24/04/2020,-208.925
22/04/2020,-208.93
21/04/2020,-208.935
20/04/2020,-208.94
19/04/2020,-208.945
18/04/2020,-208.95
16/04/2020,-208.965
15/04/2020,-208.975
14/04/2020,-208.985
13/04/2020,-209
12/04/2020,-209.01
11/04/2020,-209.03
10/04/2020,-209.07
09/04/2020,-209.08
08/04/2020,-209.09
07/04/2020,-209.1
06/04/2020,-209.11
05/04/2020,-209.12
04/04/2020,-209.125
03/04/2020,-209.13
02/04/2020,-209.145
01/04/2020,-209.16
31/03/2020,-209.175
30/03/2020,-209.19
29/03/2020,-209.2
28/03/2020,-209.21
27/03/2020,-209.225
26/03/2020,-209.24
25/03/2020,-209.26
24/03/2020,-209.275
23/03/2020,-209.29
22/03/2020,-209.31
21/03/2020,-209.35
20/03/2020,-209.4
19/03/2020,-209.42
18/03/2020,-209.44
17/03/2020,-209.46
16/03/2020,-209.47
15/03/2020,-209.48
14/03/2020,-209.49
13/03/2020,-209.505
12/03/2020,-209.525
11/03/2020,-209.535
10/03/2020,-209.545
09/03/2020,-209.56
08/03/2020,-209.57
07/03/2020,-209.58
06/03/2020,-209.595
05/03/2020,-209.61
04/03/2020,-209.625
03/03/2020,-209.64
02/03/2020,-209.66
01/03/2020,-209.68
29/02/2020,-209.71
28/02/2020,-209.72
27/02/2020,-209.735
26/02/2020,-209.75
25/02/2020,-209.76
24/02/2020,-209.775
23/02/2020,-209.79
22/02/2020,-209.81
21/02/2020,-209.825
20/02/2020,-209.84
19/02/2020,-209.86
18/02/2020,-209.88
17/02/2020,-209.895
16/02/2020,-209.915
15/02/2020,-209.925
14/02/2020,-209.94
13/02/2020,-209.96
12/02/2020,-210
11/02/2020,-210.02
10/02/2020,-210.04
09/02/2020,-210.08
08/02/2020,-210.13
07/02/2020,-210.15
06/02/2020,-210.165
05/02/2020,-210.185
04/02/2020,-210.2
03/02/2020,-210.22
02/02/2020,-210.245
01/02/2020,-210.27
31/01/2020,-210.3
30/01/2020,-210.325
29/01/2020,-210.345
28/01/2020,-210.37
27/01/2020,-210.39
26/01/2020,-210.41
25/01/2020,-210.44
24/01/2020,-210.49
23/01/2020,-210.53
22/01/2020,-210.555
21/01/2020,-210.595
20/01/2020,-210.665
19/01/2020,-210.715
18/01/2020,-210.74
17/01/2020,-210.76
16/01/2020,-210.78
15/01/2020,-210.795
14/01/2020,-210.81
13/01/2020,-210.84
12/01/2020,-210.86
11/01/2020,-210.9
10/01/2020,-210.96
09/01/2020,-211.1
08/01/2020,-211.33
07/01/2020,-211.34
06/01/2020,-211.39
05/01/2020,-211.48
04/01/2020,-211.5
03/01/2020,-211.52
02/01/2020,-211.53
01/01/2020,-211.54
31/12/2019,-211.55
30/12/2019,-211.56
29/12/2019,-211.575
28/12/2019,-211.61
27/12/2019,-211.68
26/12/2019,-211.765
25/12/2019,-211.825
24/12/2019,-211.82
23/12/2019,-211.82
22/12/2019,-211.82
21/12/2019,-211.825
20/12/2019,-211.825
19/12/2019,-211.825
18/12/2019,-211.825
17/12/2019,-211.83
16/12/2019,-211.83
15/12/2019,-211.83
14/12/2019,-211.835
13/12/2019,-211.84
12/12/2019,-211.85
11/12/2019,-211.85
10/12/2019,-211.855
09/12/2019,-211.87
08/12/2019,-211.87
07/12/2019,-211.875
06/12/2019,-211.875
05/12/2019,-211.88
04/12/2019,-211.885
03/12/2019,-211.885
02/12/2019,-211.89
01/12/2019,-211.9
30/11/2019,-211.9
29/11/2019,-211.9
28/11/2019,-211.9
27/11/2019,-211.895
26/11/2019,-211.895
25/11/2019,-211.895
24/11/2019,-211.89
23/11/2019,-211.89
22/11/2019,-211.89
21/11/2019,-211.89
20/11/2019,-211.88
19/11/2019,-211.87
18/11/2019,-211.86
17/11/2019,-211.85
16/11/2019,-211.845
15/11/2019,-211.85
14/11/2019,-211.85
13/11/2019,-211.845
12/11/2019,-211.84
11/11/2019,-211.84
10/11/2019,-211.835
09/11/2019,-211.835
08/11/2019,-211.83
07/11/2019,-211.83
06/11/2019,-211.825
05/11/2019,-211.82
04/11/2019,-211.82
03/11/2019,-211.82
02/11/2019,-211.82
01/11/2019,-211.82
31/10/2019,-211.815
30/10/2019,-211.815
29/10/2019,-211.815
28/10/2019,-211.815
27/10/2019,-211.815
26/10/2019,-211.81
25/10/2019,-211.805
24/10/2019,-211.8
23/10/2019,-211.795
22/10/2019,-211.795
21/10/2019,-211.79
20/10/2019,-211.78
19/10/2019,-211.78
18/10/2019,-211.78
17/10/2019,-211.775
16/10/2019,-211.775
15/10/2019,-211.77
14/10/2019,-211.765
13/10/2019,-211.76
12/10/2019,-211.755
11/10/2019,-211.75
10/10/2019,-211.75
09/10/2019,-211.745
08/10/2019,-211.74
07/10/2019,-211.74
06/10/2019,-211.74
05/10/2019,-211.735
04/10/2019,-211.73
03/10/2019,-211.73
02/10/2019,-211.725
01/10/2019,-211.72
30/09/2019,-211.72
29/09/2019,-211.72
28/09/2019,-211.715
27/09/2019,-211.71
26/09/2019,-211.71
25/09/2019,-211.7
24/09/2019,-211.7
23/09/2019,-211.7
22/09/2019,-211.695
21/09/2019,-211.69
20/09/2019,-211.685
19/09/2019,-211.68
18/09/2019,-211.67
17/09/2019,-211.665
16/09/2019,-211.66
15/09/2019,-211.65
14/09/2019,-211.645
13/09/2019,-211.64
12/09/2019,-211.64
11/09/2019,-211.63
10/09/2019,-211.63
09/09/2019,-211.62
08/09/2019,-211.615
04/09/2019,-211.58
03/09/2019,-211.575
02/09/2019,-211.575
01/09/2019,-211.56
31/08/2019,-211.555
30/08/2019,-211.55
29/08/2019,-211.54
28/08/2019,-211.54
27/08/2019,-211.535
26/08/2019,-211.53
25/08/2019,-211.525
24/08/2019,-211.52
23/08/2019,-211.515
22/08/2019,-211.51
21/08/2019,-211.505
20/08/2019,-211.5
19/08/2019,-211.5
18/08/2019,-211.495
17/08/2019,-211.49
16/08/2019,-211.485
15/08/2019,-211.48
14/08/2019,-211.475
13/08/2019,-211.47
12/08/2019,-211.465
11/08/2019,-211.46
10/08/2019,-211.455
09/08/2019,-211.45
08/08/2019,-211.445
07/08/2019,-211.445
06/08/2019,-211.44
05/08/2019,-211.435
04/08/2019,-211.43
03/08/2019,-211.425
02/08/2019,-211.42
01/08/2019,-211.41
31/07/2019,-211.41
30/07/2019,-211.405
29/07/2019,-211.4
28/07/2019,-211.395
27/07/2019,-211.39
26/07/2019,-211.385
25/07/2019,-211.38
24/07/2019,-211.375
23/07/2019,-211.37
22/07/2019,-211.365
21/07/2019,-211.36
20/07/2019,-211.355
19/07/2019,-211.35
18/07/2019,-211.34
17/07/2019,-211.335
16/07/2019,-211.33
15/07/2019,-211.325
14/07/2019,-211.32
13/07/2019,-211.315
12/07/2019,-211.31
11/07/2019,-211.31
10/07/2019,-211.305
09/07/2019,-211.3
08/07/2019,-211.295
07/07/2019,-211.29
06/07/2019,-211.285
05/07/2019,-211.28
04/07/2019,-211.275
03/07/2019,-211.27
02/07/2019,-211.265
01/07/2019,-211.26
30/06/2019,-211.26
29/06/2019,-211.255
28/06/2019,-211.25
27/06/2019,-211.25
26/06/2019,-211.245
25/06/2019,-211.245
24/06/2019,-211.24
23/06/2019,-211.24
22/06/2019,-211.235
21/06/2019,-211.235
20/06/2019,-211.23
19/06/2019,-211.225
18/06/2019,-211.22
17/06/2019,-211.22
16/06/2019,-211.22
15/06/2019,-211.215
14/06/2019,-211.215
13/06/2019,-211.21
12/06/2019,-211.21
11/06/2019,-211.21
10/06/2019,-211.205
09/06/2019,-211.2
08/06/2019,-211.2
07/06/2019,-211.195
06/06/2019,-211.195
05/06/2019,-211.195
04/06/2019,-211.195
03/06/2019,-211.19
02/06/2019,-211.19
01/06/2019,-211.185
31/05/2019,-211.185
30/05/2019,-211.19
29/05/2019,-211.19
28/05/2019,-211.19
27/05/2019,-211.19
26/05/2019,-211.19
25/05/2019,-211.19
24/05/2019,-211.185
23/05/2019,-211.19
22/05/2019,-211.195
21/05/2019,-211.195
20/05/2019,-211.195
19/05/2019,-211.2
18/05/2019,-211.2
17/05/2019,-211.2
16/05/2019,-211.205
15/05/2019,-211.21
14/05/2019,-211.215
13/05/2019,-211.22
12/05/2019,-211.22
11/05/2019,-211.225
10/05/2019,-211.225
09/05/2019,-211.23
08/05/2019,-211.23
07/05/2019,-211.235
06/05/2019,-211.24
05/05/2019,-211.25
04/05/2019,-211.26
03/05/2019,-211.27
02/05/2019,-211.275
01/05/2019,-211.285
30/04/2019,-211.295
29/04/2019,-211.305
28/04/2019,-211.315
27/04/2019,-211.33
26/04/2019,-211.345
25/04/2019,-211.36
24/04/2019,-211.375
23/04/2019,-211.39
22/04/2019,-211.41
21/04/2019,-211.425
20/04/2019,-211.44
19/04/2019,-211.465
18/04/2019,-211.47
17/04/2019,-211.485
16/04/2019,-211.505
15/04/2019,-211.525
14/04/2019,-211.54
13/04/2019,-211.555
12/04/2019,-211.57
11/04/2019,-211.59
10/04/2019,-211.605
09/04/2019,-211.625
08/04/2019,-211.645
07/04/2019,-211.67
06/04/2019,-211.695
05/04/2019,-211.72
04/04/2019,-211.76
03/04/2019,-211.8
02/04/2019,-211.86
01/04/2019,-211.96
31/03/2019,-212.07
30/03/2019,-212.095
29/03/2019,-212.115
28/03/2019,-212.13
27/03/2019,-212.15
26/03/2019,-212.165
25/03/2019,-212.195
24/03/2019,-212.215
23/03/2019,-212.23
22/03/2019,-212.25
21/03/2019,-212.27
20/03/2019,-212.295
19/03/2019,-212.32
18/03/2019,-212.35
17/03/2019,-212.415
16/03/2019,-212.47
15/03/2019,-212.49
14/03/2019,-212.51
13/03/2019,-212.53
12/03/2019,-212.545
11/03/2019,-212.56
10/03/2019,-212.575
09/03/2019,-212.595
08/03/2019,-212.615
07/03/2019,-212.635
06/03/2019,-212.665
05/03/2019,-212.7
04/03/2019,-212.74
03/03/2019,-212.77
02/03/2019,-212.805
01/03/2019,-212.845
28/02/2019,-212.915
27/02/2019,-212.975
26/02/2019,-213
25/02/2019,-213.015
24/02/2019,-213.03
23/02/2019,-213.045
22/02/2019,-213.06
21/02/2019,-213.08
20/02/2019,-213.105
19/02/2019,-213.135
18/02/2019,-213.18
17/02/2019,-213.235
16/02/2019,-213.305
15/02/2019,-213.325
14/02/2019,-213.35
13/02/2019,-213.365
12/02/2019,-213.38
11/02/2019,-213.4
10/02/2019,-213.435
09/02/2019,-213.455
08/02/2019,-213.475
07/02/2019,-213.485
06/02/2019,-213.495
05/02/2019,-213.52
04/02/2019,-213.525
03/02/2019,-213.535
02/02/2019,-213.545
01/02/2019,-213.56
31/01/2019,-213.575
30/01/2019,-213.585
29/01/2019,-213.595
28/01/2019,-213.62
27/01/2019,-213.635
26/01/2019,-213.645
25/01/2019,-213.655
24/01/2019,-213.67
23/01/2019,-213.685
22/01/2019,-213.7
21/01/2019,-213.72
20/01/2019,-213.74
19/01/2019,-213.76
18/01/2019,-213.79
17/01/2019,-213.85
16/01/2019,-213.9
15/01/2019,-213.97
14/01/2019,-214.05
13/01/2019,-214.11
12/01/2019,-214.135
11/01/2019,-214.165
10/01/2019,-214.185
09/01/2019,-214.24
08/01/2019,-214.35
07/01/2019,-214.435
06/01/2019,-214.44
05/01/2019,-214.445
04/01/2019,-214.45
03/01/2019,-214.45
02/01/2019,-214.455
01/01/2019,-214.46
31/12/2018,-214.47
30/12/2018,-214.475
29/12/2018,-214.48
28/12/2018,-214.5
27/12/2018,-214.535
26/12/2018,-214.54
25/12/2018,-214.545
24/12/2018,-214.545
23/12/2018,-214.55
22/12/2018,-214.56
21/12/2018,-214.57
20/12/2018,-214.58
19/12/2018,-214.595
18/12/2018,-214.595
17/12/2018,-214.6
16/12/2018,-214.6
15/12/2018,-214.61
14/12/2018,-214.61
13/12/2018,-214.605
12/12/2018,-214.61
11/12/2018,-214.61
10/12/2018,-214.61
09/12/2018,-214.61
08/12/2018,-214.62
07/12/2018,-214.63
06/12/2018,-214.66
05/12/2018,-214.66
04/12/2018,-214.655
03/12/2018,-214.655
02/12/2018,-214.65
01/12/2018,-214.65
30/11/2018,-214.65
29/11/2018,-214.645
28/11/2018,-214.645
27/11/2018,-214.645
26/11/2018,-214.64
25/11/2018,-214.64
24/11/2018,-214.655
23/11/2018,-214.65
22/11/2018,-214.66
21/11/2018,-214.66
20/11/2018,-214.66
19/11/2018,-214.655
18/11/2018,-214.655
17/11/2018,-214.655
16/11/2018,-214.66
15/11/2018,-214.66
14/11/2018,-214.66
13/11/2018,-214.66
12/11/2018,-214.66
11/11/2018,-214.66
10/11/2018,-214.655
09/11/2018,-214.655
08/11/2018,-214.655
07/11/2018,-214.65
06/11/2018,-214.65
05/11/2018,-214.645
04/11/2018,-214.64
03/11/2018,-214.635
02/11/2018,-214.63
01/11/2018,-214.62
31/10/2018,-214.61
30/10/2018,-214.595
29/10/2018,-214.585
28/10/2018,-214.58
27/10/2018,-214.575
26/10/2018,-214.565
25/10/2018,-214.555
24/10/2018,-214.55
23/10/2018,-214.54
22/10/2018,-214.53
21/10/2018,-214.525
20/10/2018,-214.52
19/10/2018,-214.515
18/10/2018,-214.515
17/10/2018,-214.51
16/10/2018,-214.505
15/10/2018,-214.5
14/10/2018,-214.495
13/10/2018,-214.49
12/10/2018,-214.485
11/10/2018,-214.48
10/10/2018,-214.475
09/10/2018,-214.47
08/10/2018,-214.465
07/10/2018,-214.46
06/10/2018,-214.45
05/10/2018,-214.445
04/10/2018,-214.44
03/10/2018,-214.435
02/10/2018,-214.43
01/10/2018,-214.425
30/09/2018,-214.415
29/09/2018,-214.41
28/09/2018,-214.405
27/09/2018,-214.4
26/09/2018,-214.39
25/09/2018,-214.385
24/09/2018,-214.38
23/09/2018,-214.375
22/09/2018,-214.365
21/09/2018,-214.36
20/09/2018,-214.35
19/09/2018,-214.345
18/09/2018,-214.34
17/09/2018,-214.335
16/09/2018,-214.33
15/09/2018,-214.32
14/09/2018,-214.315
13/09/2018,-214.31
12/09/2018,-214.3
11/09/2018,-214.295
10/09/2018,-214.285
09/09/2018,-214.275
08/09/2018,-214.265
07/09/2018,-214.26
06/09/2018,-214.25
05/09/2018,-214.24
04/09/2018,-214.235
03/09/2018,-214.23
02/09/2018,-214.225
01/09/2018,-214.22
31/08/2018,-214.215
30/08/2018,-214.21
29/08/2018,-214.205
28/08/2018,-214.2
27/08/2018,-214.19
26/08/2018,-214.18
25/08/2018,-214.175
24/08/2018,-214.17
23/08/2018,-214.165
22/08/2018,-214.16
21/08/2018,-214.15
20/08/2018,-214.14
19/08/2018,-214.13
18/08/2018,-214.12
17/08/2018,-214.11
16/08/2018,-214.1
15/08/2018,-214.09
14/08/2018,-214.08
13/08/2018,-214.065
12/08/2018,-214.06
11/08/2018,-214.05
10/08/2018,-214.04
09/08/2018,-214.03
08/08/2018,-214.02
07/08/2018,-214.02
06/08/2018,-214
05/08/2018,-213.98
04/08/2018,-213.975
03/08/2018,-213.97
02/08/2018,-213.96
01/08/2018,-213.95
31/07/2018,-213.94
30/07/2018,-213.935
29/07/2018,-213.93
28/07/2018,-213.92
27/07/2018,-213.91
26/07/2018,-213.9
25/07/2018,-213.89
24/07/2018,-213.88
23/07/2018,-213.875
22/07/2018,-213.865
21/07/2018,-213.855
20/07/2018,-213.85
19/07/2018,-213.84
18/07/2018,-213.83
17/07/2018,-213.82
16/07/2018,-213.81
15/07/2018,-213.8
14/07/2018,-213.795
13/07/2018,-213.785
12/07/2018,-213.775
11/07/2018,-213.765
10/07/2018,-213.755
09/07/2018,-213.745
08/07/2018,-213.74
07/07/2018,-213.73
06/07/2018,-213.72
05/07/2018,-213.715
04/07/2018,-213.705
03/07/2018,-213.7
02/07/2018,-213.69
01/07/2018,-213.685
30/06/2018,-213.67
29/06/2018,-213.66
28/06/2018,-213.65
27/06/2018,-213.64
26/06/2018,-213.63
25/06/2018,-213.625
24/06/2018,-213.615
23/06/2018,-213.61
22/06/2018,-213.6
21/06/2018,-213.59
20/06/2018,-213.58
19/06/2018,-213.575
18/06/2018,-213.57
17/06/2018,-213.57
16/06/2018,-213.56
15/06/2018,-213.55
14/06/2018,-213.54
13/06/2018,-213.53
12/06/2018,-213.525
11/06/2018,-213.52
10/06/2018,-213.51
09/06/2018,-213.5
08/06/2018,-213.495
07/06/2018,-213.49
06/06/2018,-213.49
05/06/2018,-213.485
04/06/2018,-213.48
03/06/2018,-213.47
02/06/2018,-213.465
01/06/2018,-213.46
31/05/2018,-213.45
30/05/2018,-213.44
29/05/2018,-213.435
28/05/2018,-213.43
27/05/2018,-213.425
26/05/2018,-213.415
25/05/2018,-213.405
24/05/2018,-213.395
23/05/2018,-213.39
22/05/2018,-213.39
21/05/2018,-213.385
20/05/2018,-213.385
19/05/2018,-213.385
18/05/2018,-213.385
17/05/2018,-213.375
16/05/2018,-213.37
15/05/2018,-213.37
14/05/2018,-213.365
13/05/2018,-213.365
12/05/2018,-213.365
11/05/2018,-213.36
10/05/2018,-213.36
09/05/2018,-213.36
08/05/2018,-213.365
07/05/2018,-213.365
06/05/2018,-213.365
05/05/2018,-213.365
04/05/2018,-213.36
03/05/2018,-213.36
02/05/2018,-213.36
01/05/2018,-213.36
30/04/2018,-213.355
29/04/2018,-213.355
28/04/2018,-213.36
27/04/2018,-213.37
26/04/2018,-213.38
25/04/2018,-213.38
24/04/2018,-213.385
23/04/2018,-213.385
22/04/2018,-213.385
21/04/2018,-213.385
20/04/2018,-213.385
19/04/2018,-213.385
18/04/2018,-213.385
17/04/2018,-213.385
16/04/2018,-213.39
15/04/2018,-213.39
14/04/2018,-213.395
13/04/2018,-213.395
12/04/2018,-213.395
11/04/2018,-213.4
10/04/2018,-213.4
09/04/2018,-213.4
08/04/2018,-213.41
07/04/2018,-213.41
06/04/2018,-213.41
05/04/2018,-213.42
04/04/2018,-213.42
03/04/2018,-213.42
02/04/2018,-213.42
01/04/2018,-213.43
31/03/2018,-213.43
30/03/2018,-213.43
29/03/2018,-213.43
28/03/2018,-213.435
27/03/2018,-213.44
26/03/2018,-213.44
25/03/2018,-213.44
24/03/2018,-213.44
23/03/2018,-213.445
22/03/2018,-213.445
21/03/2018,-213.45
20/03/2018,-213.45
19/03/2018,-213.455
18/03/2018,-213.46
17/03/2018,-213.465
16/03/2018,-213.465
15/03/2018,-213.47
14/03/2018,-213.475
13/03/2018,-213.475
12/03/2018,-213.48
11/03/2018,-213.49
10/03/2018,-213.495
09/03/2018,-213.5
08/03/2018,-213.505
07/03/2018,-213.51
06/03/2018,-213.52
05/03/2018,-213.525
04/03/2018,-213.53
03/03/2018,-213.54
02/03/2018,-213.55
01/03/2018,-213.56
28/02/2018,-213.57
27/02/2018,-213.595
26/02/2018,-213.62
25/02/2018,-213.625
24/02/2018,-213.63
23/02/2018,-213.64
22/02/2018,-213.665
21/02/2018,-213.68
20/02/2018,-213.7
19/02/2018,-213.72
18/02/2018,-213.75
17/02/2018,-213.775
16/02/2018,-213.8
15/02/2018,-213.81
14/02/2018,-213.815
13/02/2018,-213.84
12/02/2018,-213.86
11/02/2018,-213.865
10/02/2018,-213.87
09/02/2018,-213.88
08/02/2018,-213.89
07/02/2018,-213.895
06/02/2018,-213.9
05/02/2018,-213.905
04/02/2018,-213.91
03/02/2018,-213.92
02/02/2018,-213.925
01/02/2018,-213.93
31/01/2018,-213.94
30/01/2018,-213.95
29/01/2018,-213.965
28/01/2018,-213.98
27/01/2018,-214.01
26/01/2018,-214.11
25/01/2018,-214.155
24/01/2018,-214.17
23/01/2018,-214.185
22/01/2018,-214.19
21/01/2018,-214.2
20/01/2018,-214.2
19/01/2018,-214.22
18/01/2018,-214.225
17/01/2018,-214.235
16/01/2018,-214.24
15/01/2018,-214.245
14/01/2018,-214.255
13/01/2018,-214.255
12/01/2018,-214.26
11/01/2018,-214.26
10/01/2018,-214.26
09/01/2018,-214.265
08/01/2018,-214.27
07/01/2018,-214.275
06/01/2018,-214.302
05/01/2018,-214.33
04/01/2018,-214.35
03/01/2018,-214.36
02/01/2018,-214.36
01/01/2018,-214.37
31/12/2017,-214.375
30/12/2017,-214.37
29/12/2017,-214.375
28/12/2017,-214.38
27/12/2017,-214.38
26/12/2017,-214.38
25/12/2017,-214.38
24/12/2017,-214.395
23/12/2017,-214.395
22/12/2017,-214.395
21/12/2017,-214.395
20/12/2017,-214.395
19/12/2017,-214.39
18/12/2017,-214.39
17/12/2017,-214.385
16/12/2017,-214.38
15/12/2017,-214.38
14/12/2017,-214.375
13/12/2017,-214.37
12/12/2017,-214.37
11/12/2017,-214.365
10/12/2017,-214.365
09/12/2017,-214.365
08/12/2017,-214.36
07/12/2017,-214.36
06/12/2017,-214.355
05/12/2017,-214.355
04/12/2017,-214.355
03/12/2017,-214.355
02/12/2017,-214.35
01/12/2017,-214.35
30/11/2017,-214.34
29/11/2017,-214.34
28/11/2017,-214.34
27/11/2017,-214.34
26/11/2017,-214.335
25/11/2017,-214.33
24/11/2017,-214.33
23/11/2017,-214.325
22/11/2017,-214.325
21/11/2017,-214.325
20/11/2017,-214.32
19/11/2017,-214.32
18/11/2017,-214.315
17/11/2017,-214.315
16/11/2017,-214.31
15/11/2017,-214.31
14/11/2017,-214.305
13/11/2017,-214.305
12/11/2017,-214.3
11/11/2017,-214.295
10/11/2017,-214.295
09/11/2017,-214.29
08/11/2017,-214.29
07/11/2017,-214.285
06/11/2017,-214.285
05/11/2017,-214.28
04/11/2017,-214.275
03/11/2017,-214.27
02/11/2017,-214.265
01/11/2017,-214.26
31/10/2017,-214.26
30/10/2017,-214.255
29/10/2017,-214.25
28/10/2017,-214.245
27/10/2017,-214.24
26/10/2017,-214.235
25/10/2017,-214.23
24/10/2017,-214.225
23/10/2017,-214.22
22/10/2017,-214.215
21/10/2017,-214.21
